,comments,clean_comments,prediction
925,"richtig cool, leider noch nicht vegan","richtig cool , leid nicht vegan",0
944,Und bitte bitte noch veganen Leberkäs :),bitt bitt vegan leberkas : ),1
945,Bitte ne vegane Version ,bitt ne vegan version,1
955,"wisst ihr zufällig schon, wann sie vegan rauskommen wird? Bin schon gespannt drauf. ","wisst zufall schon , wann vegan rauskomm ? schon gespannt drauf .",1
959,Bitte in vegan! ,bitt vegan !,1
960,Hat schon einer vegan gesagt? Warum bringt ihr das nicht gleich so raus? ,schon vegan gesagt ? warum bringt nicht gleich raus ?,1
961,Jetzt noch vegetarischer oder veganer Leberkäse und ich bin im Himmel. ,vegetar vegan leberkas himmel .,1
964,Das in vegan ,vegan,1
966,""" wenn es vegetarisch ist, kaufe ich es nicht"" dann kauft es halt nicht! es ist schon gut wenn sie überhaupt fleischlose alternativen rausbringen. So dass auch Fleischesser sich mal überzeugen lassen, dass weniger Fleisch auf dem Tisch kommt. Eier und co. je nachdem wo sie her kommen, sind vielleicht nicht gerade super aber dennoch besser als Fleisch + Ei usw. Es bringt auch nichts wenn etwas vegan rauskommt und dann eine miese Konsistenz hat oder nicht schmeckt. Darauf wird wohl bei der Produktion Wert gelegt. Hat schon seinen Grund, wieso einige vegane Produkte erstmal auf sich warten lassen. aber so gibt es für den Rest schonmal was Neues und der ein oder andere greift Lieber hierzu, anstatt zu einem echten bifi.","`` vegetar , kauf nicht '' kauft halt nicht ! schon gut uberhaupt fleischlos alternativ rausbring . fleischess uberzeug lass , wenig fleisch tisch kommt . eier co. je nachd her komm , vielleicht nicht gerad sup dennoch bess fleisch + ei usw . bringt nicht vegan rauskommt mies konsistenz nicht schmeckt . darauf wohl produktion wert gelegt . schon grund , wieso vegan produkt erstmal wart lass . gibt rest schonmal neu greift lieb hierzu , anstatt echt bifi .",1
972,Bitten in vegan,bitt vegan,1
974,Warum ist das nicht vegan? Hat sich wieder die Molke reinverirrt oder Eigelb!? MAKE IT VEGAN!,warum nicht vegan ? molk reinverirrt eigelb ! ? mak it vegan !,1
975,#govegan ,# govegan,1
981,"Top!  danke für eure ständig neuen, super Produkte. Allerdings wäre der größte und beste Schritt, mit dem ihr als ganz großes Vorbild vorangehen könntet, dass ihr komplett vom Fleisch weggeht.. Aufgrund eurer Werbung, die eigentlich nur noch aus pflanzlichen Produkten besteht, suggeriert ihr den Kunden fälschlicherweise, dass ihr nur pflanzliche Produkte anbietet. Es gibt aber weiterhin Fleischprodukte von euch.. Bevor man euch Verbrauchertäuschung oder Ähnliches ankreidet, solltet ihr wie gesagt mit gutem Beispiel vorangehen und endlich komplett auf vegetarisch/vegan umstellen. Die Abnehmer für diese Produkte sind ja definitiv da und es werden mehr folgen, wenn ihr komplett umstellt. Ansonsten bitte so ehrlich sein und in eurer Werbung auch erwähnen, dass ihr weiterhin Fleischprodukte anbietet.. Wäre nur fair.  11 Wo.Antworten","top ! dank standig neu , sup produkt . allerding war grosst best schritt , ganz gross vorbild vorangeh konntet , komplett fleisch weggeht .. aufgrund werbung , eigent pflanzlich produkt besteht , suggeriert kund falschlicherweis , pflanzlich produkt anbietet . gibt weiterhin fleischprodukt .. bevor verbrauchertausch ahnlich ankreidet , solltet gesagt gut beispiel vorangeh endlich komplett vegetarisch/vegan umstell . abnehm produkt ja definitiv mehr folg , komplett umstellt . anson bitt ehrlich werbung erwahn , weiterhin fleischprodukt anbietet .. war fair . 11 wo.antwort",1
986,"Alle Schreiben ""bitte in vegan"" und ich denke mir nur, dass die Salami nur noch nach purem Pfeffer schmeckt, seitdem die vegan, statt ""nur"" vegetarisch ist","schreib `` bitt vegan '' denk , salami pur pfeff schmeckt , seitd vegan , statt `` '' vegetar",1
987, hoffentlich bald auch vegan,hoffent bald vegan,1
989,Wir sind uns alle einig. Das geht auch vegan ,. geht vegan,0
990,"Ich habe sie probiert und war leider enttäuscht. Die restlichen vegetarischen und veganen Produkte sind wirklich gut, aber an der Wurst muss noch gearbeitet werden. Besonders das Mundgefühl und der Geruch waren leider nicht gut","probiert leid enttauscht . restlich vegetar vegan produkt wirklich gut , wurst gearbeitet . besond mundgefuhl geruch leid nicht gut",0
992,Wenn die noch vegan wären ,vegan war,1
994,"Sehr cool. Wäre sehr schön, wenn es das vegan gäbe.","sehr cool . war sehr schon , vegan gab .",1
1007,Bitte direkt in vegan nachlegen...,bitt direkt vegan nachleg ...,1
1009,Ja vegan pls. Vegetarisch ist total 2015 ,ja vegan pls . vegetar total 2015,1
1012,"Vegetarische Produkte sind doof, macht's doch bitte vegan :)","vegetar produkt doof , macht 's bitt vegan : )",1
1014,Bitte in vegan ,bitt vegan,1
1017,"Bitte in vegan, danke","bitt vegan , dank",1
1020,Mach die vegan please ,mach vegan pleas,1
1022,Bitte in vegan rausbringen ,bitt vegan rausbring,1
1025,Gibt es eine vegetarische und vegane Variante? Vielleicht habe ich mich vergriffen,gibt vegetar vegan variant ? vielleicht vergriff,1
1029,"Die schmecken toll!! Die erste vegane Bratwurst, die meinen Kindern schmecktjippiiiooo","schmeck toll ! ! erst vegan bratwurst , kind schmecktjippiiiooo",1
1031,"Bitte hört auf die leckeren vegetarischen Sachen durch vegane Alternativen zu ersetzen, sie schmecken einfach nichtmehr wie vorher wenn überhaupt noch  Die Salami schmeckt in vegan noch einigermaßen, wobei sie viele die ich kenne jetzt gar nicht mehr essen. Aber bei den Bratwürstchen, die ich als Vegetarier echt geliebt habe, war ich sehr enttäuscht, da sie jetzt nicht mehr schmecken. Werde ich mir nicht mehr kaufen.","bitt hort leck vegetar sach vegan alternativ ersetz , schmeck einfach nichtmehr vorh uberhaupt salami schmeckt vegan einigermass , wobei viel kenn gar nicht mehr ess . bratwurstch , vegetari echt geliebt , sehr enttauscht , nicht mehr schmeck . nicht mehr kauf .",0
1035,"Ich suche schon lange nach guten Bratwürste ohne Fleisch. Die vegetarischen von Rügenwalder und anderen Firmen haben mir einfach nicht geschmeckt. Heute dann mal die nun Veganen Würstchen probiert, da schon die veganen Wurstscheiben besser schmecken, und ich war doch sehr positiv überrascht. Sowohl Geschmack als auch Konsistenz sind top ","such schon lang gut bratwurst fleisch . vegetar rugenwald firm einfach nicht geschmeckt . heut vegan wurstch probiert , schon vegan wurstscheib bess schmeck , sehr positiv uberrascht . sowohl geschmack konsistenz top",1
1039,"Bratwurst ja, aber vegan","bratwurst ja , vegan",0
1040,Gibts eigentlich noch irgendwo die veganen schinkenwürfel ?,gibt eigent irgendwo vegan schinkenwurfel ?,1
1042,Ihr seid super! Endlich auch die leckere Bratwurst veganisiert weiter so ,seid sup ! endlich leck bratwurst veganisiert,1
1049,Wieso gibt es das vegane Geschnetzelte Typ Hähnchen nicht mehr im Sortiment? ,wieso gibt vegan geschnetzelt typ hahnch nicht mehr sortiment ?,1
1050,Schmeckt wirklich super ! Bisher mit die beste vegane Wurst die ich in den letzten 6 Jahren probiert habe ! ,schmeckt wirklich sup ! bish best vegan wurst letzt 6 jahr probiert !,1
1052,Könnt ihr euch vorstellen komplett auf vegan umzusteigen?,konnt vorstell komplett vegan umzusteig ?,1
1053,Wann kommen diese vegan en Hähnchen Filet Streifen wieder ? Ich hab dir geliebt  bin momentan deswegen sogar zu like meat gewechselt da die mehr ‘Huhn’ Alternativen anbieten,wann komm vegan en hahnch filet streif ? geliebt momentan desweg sogar lik meat gewechselt mehr ‘ huhn ’ alternativ anbiet,1
1059,"Die sind ECHT GUT!!! Selbst mein Freund, der gerade in der veganen „Findungsphase“ ist, ist total begeistert und meint, dass er jetzt seine geliebten Nürnberger nicht mehr vermissen wird ","echt gut ! ! ! freund , gerad vegan „ findungsphas “ , total begeistert meint , geliebt nurnberg nicht mehr vermiss",1
1062,seid ihr jetzt komplett auf vegane/vegetarische Produkte umgestiegen oder gibt es auch noch tierische Produkte zu kaufen?,seid komplett vegane/vegetar produkt umgestieg gibt tierisch produkt kauf ?,1
1063,Gibts das vegane Filet Typ Hähnchen nicht mehr?,gibt vegan filet typ hahnch nicht mehr ?,1
1065,Bratwurst gerne aber nicht vegan!!!,bratwurst gern nicht vegan ! ! !,1
1070,"Viele von euch haben es bereits geahnt…Es ist unsere ehemals vegetarische Bratwurst, die ab jetzt offiziell Mitglied im Team #vegan ist.  Macht euch bereit für die Grillsaison!  #RügenwalderMühle #plantbased #VeganeMühlenBratwurst","viel bereit geahnt… ehemal vegetar bratwurst , ab offiziell mitglied team # vegan . macht bereit grillsaison ! # rugenwaldermuhl # plantbased # veganemuhlenbratwurst",1
1073,"Wir haben sie am Wochenende probiert, traf unseren Geschmack leider gar nicht. Wir waren von den vegetarischen sehr begeistert. Auch wenn wir gerne und lieber vegan essen, würden wir uns beides wünschen, die vegetarischen und die veganen","wochen probiert , traf geschmack leid gar nicht . vegetar sehr begeistert . gern lieb vegan ess , beid wunsch , vegetar vegan",0
1074,"Wow, ich die Würstchen probiert und war seeehr skeptisch, weil ich letztes Jahr mal welche von einem anderen Hersteller gegessen habe und die habe ich tatsächlich liegen gelassen. Aber diese hier übertreffen alles ke dagewesene. Danke dass ihr euch an das Thema vegan heranwagt. Ich wünsche mir, dass ihr irgendwann komplett durch eure veganen Produkte eure Mitarbeiter bezahlen könnt.  Die Würstchen sind grandios.","wow , wurstch probiert seeehr skeptisch , letzt jahr herstell gegess tatsach lieg gelass . ubertreff ke dagewes . dank thema vegan heranwagt . wunsch , irgendwann komplett vegan produkt mitarbeit bezahl konnt . wurstch grandios .",1
1076,"Ich bin so enttäuscht. Das war die beste vegetarische Bratwurst, die ich je gegessen hab und jetzt seit sie vegan ist, ist sie ungenießbar.","enttauscht . best vegetar bratwurst , je gegess seit vegan , ungeniessbar .",0
1077,"finds schade das die vegetarischen dadurch ersetzt wurden, die haben mir persönlich besser geschmeckt, waren meine lieblings veggi würste die veganen sind leider gar nicht meins","find schad vegetar dadurch ersetzt wurd , person bess geschmeckt , liebling veggi wurst vegan leid gar nicht mein",0
1085,"Die vegetarische Variante hab ich geliebt, die vegane hab ich beim letzten Grillen ausprobiert, aber die Konsistenz war für mich persönlich schrecklich und auch der Geschmack ist nicht mehr so echt wie bei den Vegetarischen  richtig schade, ihr hattet im Vergleich zu anderen Marken die mit Abstand besten Bratwürste","vegetar variant geliebt , vegan beim letzt grill ausprobiert , konsistenz person schrecklich geschmack nicht mehr echt vegetar richtig schad , hattet vergleich mark abstand best bratwurst",0
1087,"Schmecken leider nicht!  Ich bin dafür, vegane Produkte rauszubringen, aber dafür bitte NICHT die vegetarischen vom Markt nehmen ","schmeck leid nicht ! dafur , vegan produkt rauszubring , dafur bitt nicht vegetar markt nehm",0
1093,"Wie toll, dass die jetzt vegan sind  Ich würde mir die ganz normalen Wiener Würstchen in vegan wünschen  Und ihr macht zwar eigentlich ""Fleischprodukte"", aber es wäre so toll, wenn der ""Käse"" aus den veganen Cordon Bleu gesondert auf den Markt käme und man ihn einfach so kaufen könnte. Der ist sooo lecker und cremig ","toll , vegan ganz normal wien wurstch vegan wunsch macht eigent `` fleischprodukt '' , war toll , `` kas '' vegan cordon bleu gesondert markt kam einfach kauf . sooo leck cremig",1
1094,Was ist den der Unterschied zwischen der ehemaligen vegetarischen und jetzt vegan?,unterschied ehemal vegetar vegan ?,1
1095,Gibts das vegane Hähnchen nicht mehr?,gibt vegan hahnch nicht mehr ?,1
1103,Mir schmecken die nicht mehr ganz toll jetzt darf ich mich wieder andere aussuchen warum alles zu vegan machen...,schmeck nicht mehr ganz toll darf aussuch warum vegan ...,0
1104,Warum kann man die veganen Steaks nirgends mehr finden?,warum vegan steak nirgend mehr find ?,1
1106,"Heute schon gekauft  Wenn ihr jetzt noch die Mühlen Frikadellen in vegan rausbringen würdet, wäre das so toll ","heut schon gekauft muhl frikadell vegan rausbring wurdet , war toll",1
1112,"Es wäre toll, wenn es die guten vegetarischen Wienerle/Würstchen auch noch in vegan gäbe.","war toll , gut vegetar wienerle/wurstch vegan gab .",1
1115,endlich vegan Danke  weiter so! ,endlich vegan dank !,1
1133,Endlich!  die Frikadellen und die Würstchen in vegan wären auch super ,endlich ! frikadell wurstch vegan war sup,1
1140,"Ooooh, wie sehr ich mich darüber freue. Ihr macht einfach die besten ""Bratwürste"". Danke, dass es die nun auch endlich vegan gibt. ","ooooh , sehr darub freu . macht einfach best `` bratwurst '' . dank , endlich vegan gibt .",1
1141,Jaaaaaaaaa!!!  Danke! Eure veganen Produkte sind großartig! Wie wärs mal mit einer veganen Sucuk? ,jaaaaaaaaa ! ! ! dank ! vegan produkt grossart ! war vegan sucuk ?,1
1151,"Tip top! Und als nächstes bitte die ""Vegetarische Mühlen Salami Minis"" veganisieren ",tip top ! nach bitt `` vegetar muhl salami minis '' veganisi,1
1173,Die muss ich unbedingt probieren!! Was jetzt noch super wäre wäre eine vegane Schinkenwurst am Stück damit ich endlich mal wieder einen schönen Wurstsalat machen kann ,unbedingt probi ! ! sup war war vegan schinkenwurst stuck endlich schon wurstsalat,1
1183,Ihr wünscht euch mehr vegan!  Machen wir und stellen deshalb ein weiteres unserer vegetarischen Produkte auf #vegan um.  Was verbirgt sich wohl hinter dem Fragezeichen? #RügenwalderMühle #plantbased #veggie,wunscht mehr vegan ! stell deshalb weit uns vegetar produkt # vegan . verbirgt wohl fragezeich ? # rugenwaldermuhl # plantbased # veggi,1
1184,"Ich halte die Spannung kaum aus  Frikadellen wären super... oder die Mini-Wiener? Ach, am liebsten alles vegan ","halt spannung kaum frikadell war sup ... mini-wi ? ach , lieb vegan",1
1185,Das ist super ...hab neulich erst wieder versehentlich die vegetarischen statt die veganen Bratwürste gekauft ,sup ... neulich erst versehent vegetar statt vegan bratwurst gekauft,1
1189,Ich würde mich sehr über vegane Wiener Würstchen und Mini Salami freuen  14 Wo.Gefällt 1 MalAntworten,sehr vegan wien wurstch mini salami freu 14 wo.gefallt 1 malantwort,1
1197,"He, habt ihr die Scheibenanzahl beim veganen Schinkenspicker heimlich reduziert? Find ich uncool :(","he , habt scheibenanzahl beim vegan schinkenspick heimlich reduziert ? find uncool : (",1
1198,Wiener  zum Grillen müssen aber unbedingt die veganen Filets wieder in den Handel ,wien grill muss unbedingt vegan filet handel,1
1212,Die Frikadellen in vegan wären auch mega  vielleicht kommt das ja irgendwann:) 14 Wo.Gefällt 3 MalAntworten,frikadell vegan war mega vielleicht kommt ja irgendwann : ) 14 wo.gefallt 3 malantwort,1
1214,Wann gibt's die AUFLÖSUNG?  Es ist einfach alles super lecker was ihr macht. Wir hoffen auf immer neue vegane Leckereien von euch. Aber jetzt hoffen wir auch erstmal auf sie kleinen Bratwürste.  Auch super wäre eine neue Sorte Mühlen Spicker. Ihr leistet tolle Arbeit!,wann gibt 's auflos ? einfach sup leck macht . hoff imm neu vegan leckerei . hoff erstmal klein bratwurst . sup war neu sort muhl spick . leistet toll arbeit !,1
1218,Ich liebe eure Produkte  Allerdings schmeckt mir die Salami seit sie vegan ist leider überhaupt nicht mehr. Geschmack und Konsistenz haben sich leider zum negativen verändert meiner Meinung nach ,lieb produkt allerding schmeckt salami seit vegan leid uberhaupt nicht mehr . geschmack konsistenz leid negativ verandert meinung,0
1219,Wird Zeit für ne ordentliche vegane Bratwurst,zeit ne ordent vegan bratwurst,1
1223,Hoffentlich die Vegetarische Mühlen Bratwurst  #vegan,hoffent vegetar muhl bratwurst # vegan,1
1228,Die veganen Griller sind schon mega  Gibts mehr sowas?,vegan grill schon mega gibt mehr sowas ?,1
1238,"Ich kann eure veganen Hähnchenfilets nicht mehr kaufen. Ich war schon in 5 verschiedenen Läden, sind die zur Zeit nicht im Sortiment?","vegan hahnchenfilet nicht mehr kauf . schon 5 verschied lad , zeit nicht sortiment ?",1
1242,Hmmm ne vegane Bratwurst???,hmmm ne vegan bratwurst ? ? ?,1
1248,Die vegetarischen Bockwürstchen in vegan wären mega!!!!,vegetar bockwurstch vegan war mega ! ! ! !,1
1249,Ich habe eine Frage zu den veganen Mühlengriller: zur Zeit ist es sehr schwer diese im Supermarkt zu bekommen. Woran liegt das? Sind die „Saisonware“?,frag vegan muhlengrill : zeit sehr schwer supermarkt bekomm . woran liegt ? „ saisonwar “ ?,1
